,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
819,female,group C,some high school,standard,none,77,91,88
794,female,group B,high school,standard,none,42,52,51
967,male,group C,some college,standard,none,63,63,60
811,male,group A,high school,free/reduced,none,45,47,49
165,female,group C,bachelor's degree,standard,completed,96,100,100
553,male,group D,some college,free/reduced,none,77,62,64
950,male,group E,high school,standard,none,94,73,71
907,female,group D,some college,standard,completed,79,84,91
31,female,group B,some college,standard,none,63,65,61
627,male,group D,associate's degree,standard,none,61,48,46
22,male,group D,some college,standard,none,44,54,53
788,male,group C,associate's degree,free/reduced,none,68,65,61
224,female,group B,associate's degree,standard,completed,52,66,73
482,male,group C,some college,free/reduced,none,68,68,61
793,male,group E,some high school,standard,completed,89,84,77
699,male,group C,high school,free/reduced,none,66,66,59
232,female,group B,bachelor's degree,standard,none,67,86,83
682,male,group B,high school,standard,none,62,55,54
538,male,group E,bachelor's degree,standard,completed,85,66,71
799,female,group C,associate's degree,standard,none,52,55,57
396,female,group B,high school,free/reduced,none,50,67,63
515,female,group C,some high school,standard,completed,76,87,85
15,female,group C,some high school,standard,none,69,75,78
14,female,group A,master's degree,standard,none,50,53,58
596,male,group B,high school,free/reduced,none,30,24,15
302,female,group C,associate's degree,standard,completed,67,84,81
628,male,group D,some college,free/reduced,none,49,57,46
747,male,group C,some college,standard,none,69,64,68
638,male,group E,some college,standard,none,86,76,74
509,female,group C,bachelor's degree,standard,none,86,92,87
181,female,group C,some college,free/reduced,none,46,64,66
630,male,group D,some college,standard,none,67,64,70
404,female,group C,high school,standard,none,54,59,62
689,male,group E,some college,free/reduced,none,93,90,83
281,male,group D,high school,standard,none,45,48,46
36,female,group D,associate's degree,standard,none,74,81,83
52,male,group C,some college,standard,none,53,44,42
505,female,group B,some high school,standard,none,82,82,80
379,male,group A,bachelor's degree,standard,none,66,64,62
384,female,group A,some high school,free/reduced,none,38,43,43
329,female,group B,some high school,standard,none,41,55,51
797,female,group E,associate's degree,free/reduced,none,70,84,81
154,male,group D,some high school,standard,none,62,67,61
924,male,group D,high school,free/reduced,none,74,70,69
691,female,group E,associate's degree,free/reduced,none,73,76,78
539,male,group A,associate's degree,standard,completed,97,92,86
438,male,group C,high school,standard,none,70,56,51
709,female,group D,associate's degree,free/reduced,completed,42,61,58
508,male,group C,master's degree,standard,none,79,78,77
636,female,group B,high school,free/reduced,completed,67,80,81
735,male,group C,master's degree,standard,none,67,57,59
759,male,group B,some college,standard,completed,69,77,77
767,male,group B,high school,standard,completed,76,62,60
435,male,group C,some college,free/reduced,completed,50,48,53
313,female,group C,associate's degree,free/reduced,completed,68,67,69
975,female,group C,some college,standard,completed,64,82,77
1,female,group C,some college,standard,completed,69,90,88
784,male,group C,bachelor's degree,standard,completed,91,81,79
506,male,group A,high school,standard,none,68,70,66
297,male,group E,associate's degree,standard,completed,71,74,68
226,female,group C,some college,standard,none,72,72,71
298,male,group C,high school,free/reduced,completed,40,46,50
869,male,group C,associate's degree,free/reduced,none,49,51,51
687,male,group D,associate's degree,free/reduced,none,77,78,73
548,female,group C,high school,free/reduced,none,62,67,64
472,female,group C,associate's degree,standard,completed,68,86,84
447,male,group C,high school,standard,completed,86,81,80
753,female,group C,some high school,standard,completed,77,90,85
896,male,group B,high school,free/reduced,none,36,29,27
475,female,group D,bachelor's degree,standard,completed,71,76,83
655,female,group B,some college,standard,none,62,67,67
650,male,group C,some high school,free/reduced,completed,51,56,53
534,male,group B,high school,standard,completed,73,69,68
446,male,group D,some college,free/reduced,none,69,66,60
388,female,group D,high school,standard,none,62,64,64
707,male,group C,some college,standard,none,66,59,52
894,female,group E,associate's degree,standard,none,59,62,69
3,male,group A,associate's degree,free/reduced,none,47,57,44
454,female,group C,associate's degree,free/reduced,none,53,61,62
881,female,group E,bachelor's degree,standard,completed,71,70,70
803,female,group B,some college,standard,none,82,85,87
98,female,group D,some college,free/reduced,none,58,67,62
72,female,group A,associate's degree,free/reduced,none,41,51,48
915,female,group E,some college,standard,none,68,70,66
288,male,group B,bachelor's degree,free/reduced,none,88,75,76
157,male,group B,some college,free/reduced,none,60,60,60
62,male,group A,associate's degree,free/reduced,none,62,61,55
790,female,group B,high school,standard,none,48,62,60
798,male,group E,some college,standard,none,69,60,54
369,female,group D,some high school,standard,none,73,84,85
533,female,group E,associate's degree,standard,completed,79,88,94
150,male,group A,some high school,standard,completed,62,67,69
448,male,group B,high school,standard,none,47,46,42
594,female,group C,bachelor's degree,standard,completed,92,100,99
204,male,group C,some college,standard,none,59,41,42
971,male,group C,some high school,standard,completed,78,72,69
266,female,group C,bachelor's degree,standard,none,63,75,81
167,female,group B,master's degree,free/reduced,completed,58,76,78
300,male,group A,some college,free/reduced,completed,81,78,81
631,male,group B,high school,standard,none,79,60,65
614,female,group A,associate's degree,standard,none,82,93,93
422,female,group D,master's degree,free/reduced,completed,47,58,67
639,female,group D,associate's degree,standard,none,76,74,73
726,female,group E,associate's degree,standard,completed,65,75,77
681,male,group B,high school,standard,none,60,68,60
391,female,group D,some college,standard,none,77,68,77
591,male,group A,some high school,standard,none,71,62,50
60,male,group E,bachelor's degree,free/reduced,completed,79,74,72
156,female,group E,high school,free/reduced,completed,66,74,78
324,female,group C,high school,free/reduced,none,41,46,43
173,female,group C,associate's degree,standard,none,63,67,70
414,female,group C,bachelor's degree,free/reduced,completed,51,72,79
451,female,group E,some college,standard,none,100,92,97
974,female,group A,some college,standard,none,54,63,67
212,female,group C,high school,free/reduced,none,42,62,60
700,female,group E,bachelor's degree,standard,completed,79,81,82
252,female,group B,some high school,standard,completed,60,70,70
648,female,group B,high school,standard,none,50,53,55
602,female,group E,some college,standard,none,76,78,80
449,male,group B,associate's degree,standard,none,81,73,72
645,female,group B,bachelor's degree,standard,completed,65,81,81
63,female,group C,associate's degree,standard,none,69,80,71
968,female,group E,associate's degree,standard,none,68,76,67
942,male,group C,high school,standard,none,81,66,64
953,male,group C,high school,standard,completed,58,52,54
455,male,group C,bachelor's degree,free/reduced,none,37,56,47
385,female,group E,some college,standard,none,67,76,75
318,male,group B,bachelor's degree,standard,none,63,71,69
177,female,group C,associate's degree,standard,completed,71,77,77
29,female,group D,master's degree,standard,none,62,70,75
108,female,group B,associate's degree,free/reduced,none,52,76,70
526,male,group C,some high school,free/reduced,completed,56,61,60
846,male,group C,master's degree,standard,completed,91,85,85
295,male,group B,associate's degree,free/reduced,none,67,62,60
608,female,group E,some college,standard,none,61,64,62
262,female,group C,some high school,free/reduced,none,44,50,51
883,male,group D,bachelor's degree,free/reduced,none,55,46,44
155,female,group C,some college,standard,completed,70,89,88
959,male,group C,high school,standard,none,75,81,71
223,male,group D,some high school,standard,none,86,80,75
59,female,group C,some high school,free/reduced,none,0,17,10
774,male,group B,some college,standard,none,66,65,60
366,male,group C,high school,standard,completed,69,58,53
49,male,group C,high school,standard,completed,82,84,82
895,female,group E,some high school,free/reduced,none,32,34,38
260,female,group C,some high school,free/reduced,completed,64,79,77
807,female,group E,high school,free/reduced,none,41,45,40
824,female,group C,some high school,free/reduced,none,48,58,52
850,male,group C,master's degree,standard,none,71,67,67
728,female,group D,high school,free/reduced,none,73,92,84
58,male,group D,some college,standard,completed,58,59,58
239,male,group C,associate's degree,standard,none,84,80,80
139,male,group D,some college,standard,completed,71,61,69
592,male,group E,bachelor's degree,standard,none,68,68,64
822,male,group E,some college,free/reduced,completed,49,52,51
13,male,group A,some college,standard,completed,78,72,70
249,male,group C,high school,standard,none,68,60,53
346,male,group B,some college,standard,none,62,61,57
133,female,group C,some college,standard,completed,75,81,84
284,female,group B,some high school,standard,none,37,46,46
685,female,group E,master's degree,standard,completed,94,99,100
525,male,group E,some college,standard,none,68,60,59
929,female,group C,some high school,free/reduced,none,48,56,51
48,female,group D,associate's degree,free/reduced,completed,57,74,76
814,female,group C,high school,standard,none,72,80,83
861,female,group E,master's degree,free/reduced,none,81,86,87
118,female,group D,some high school,standard,none,51,63,61
993,female,group D,bachelor's degree,free/reduced,none,62,72,74
280,male,group D,high school,standard,none,53,52,42
292,male,group C,some high school,standard,completed,63,60,57
142,female,group E,some college,free/reduced,completed,42,55,54
667,female,group B,bachelor's degree,free/reduced,none,77,85,87
489,male,group A,associate's degree,free/reduced,completed,79,82,82
867,male,group B,associate's degree,standard,none,61,42,41
94,female,group B,some college,standard,none,79,86,92
325,female,group C,some college,standard,none,82,90,94
16,male,group C,high school,standard,none,88,89,86
405,female,group C,some high school,standard,none,63,73,68
633,female,group C,high school,standard,none,75,88,85
140,female,group D,some high school,standard,none,76,72,71
242,female,group D,high school,standard,none,56,52,55
192,female,group B,some high school,standard,none,62,64,66
210,male,group D,some high school,free/reduced,completed,80,79,79
225,female,group E,master's degree,free/reduced,none,45,56,54
917,female,group C,high school,standard,none,44,61,52
483,male,group A,high school,standard,none,59,52,46
363,female,group D,some high school,free/reduced,none,27,34,32
817,male,group D,bachelor's degree,free/reduced,completed,61,70,76
905,male,group D,some college,standard,none,88,77,77
227,male,group D,high school,standard,none,57,50,54
756,male,group D,some college,standard,none,55,58,52
115,male,group C,high school,standard,none,84,77,74
840,female,group D,high school,free/reduced,none,39,52,46
275,male,group C,bachelor's degree,standard,none,83,78,73
839,female,group C,associate's degree,standard,none,66,77,73
368,female,group A,some high school,free/reduced,none,44,64,58
676,female,group E,some college,standard,completed,73,78,76
128,male,group D,master's degree,standard,none,82,82,74
541,male,group D,associate's degree,free/reduced,completed,79,82,80
697,female,group A,bachelor's degree,standard,none,59,72,70
153,male,group D,bachelor's degree,standard,none,54,49,47
161,female,group E,some college,free/reduced,completed,75,88,85
89,female,group D,some high school,standard,none,73,86,82
209,female,group B,some college,free/reduced,none,58,61,66
906,male,group B,high school,standard,none,57,48,51
923,female,group B,associate's degree,free/reduced,none,54,65,65
855,female,group B,bachelor's degree,standard,none,97,97,96
333,male,group B,associate's degree,standard,none,90,78,81
978,male,group D,high school,standard,completed,55,41,48
879,female,group D,associate's degree,standard,none,64,76,74
175,female,group C,master's degree,standard,completed,81,91,87
473,female,group D,some high school,standard,none,59,67,61
429,male,group C,some high school,free/reduced,none,68,63,54
604,male,group D,master's degree,free/reduced,completed,84,89,90
860,female,group C,associate's degree,standard,none,53,62,53
470,female,group C,associate's degree,standard,completed,83,85,90
764,male,group D,some college,standard,none,60,63,59
170,male,group A,high school,standard,completed,72,73,74
720,female,group C,some college,free/reduced,none,62,72,70
54,female,group C,some high school,free/reduced,completed,71,84,87
939,male,group D,some high school,standard,completed,77,68,69
285,male,group B,associate's degree,standard,completed,81,82,82
168,female,group B,high school,standard,completed,68,83,78
507,male,group B,bachelor's degree,free/reduced,none,55,59,54
11,male,group D,associate's degree,standard,none,40,52,43
394,female,group C,some high school,standard,completed,65,74,77
362,female,group C,some college,standard,none,52,58,58
310,female,group B,associate's degree,standard,none,73,76,80
228,male,group A,some high school,free/reduced,none,68,72,64
233,male,group E,some high school,standard,none,92,87,78
389,male,group D,master's degree,standard,none,73,70,75
642,female,group B,some high school,free/reduced,none,72,81,79
622,male,group C,high school,free/reduced,completed,58,51,52
663,female,group C,high school,standard,none,65,69,67
706,male,group D,high school,standard,none,46,34,36
963,female,group C,some high school,free/reduced,completed,65,76,75
750,male,group D,some high school,standard,completed,71,69,68
244,male,group D,some high school,standard,none,75,74,69
376,female,group D,some high school,standard,none,80,90,82
267,female,group D,high school,standard,none,69,72,77
276,female,group C,some high school,standard,completed,85,92,93
575,male,group A,associate's degree,free/reduced,completed,40,55,53
343,male,group D,associate's degree,standard,completed,67,72,67
358,male,group D,some college,free/reduced,none,59,62,61
18,male,group C,master's degree,free/reduced,completed,46,42,46
471,female,group C,high school,standard,none,63,69,74
82,male,group A,some college,free/reduced,completed,50,47,54
273,female,group D,some college,standard,none,65,70,71
443,female,group B,associate's degree,standard,none,73,83,76
146,male,group B,some high school,standard,none,88,84,75
95,male,group C,associate's degree,free/reduced,completed,78,81,82
514,female,group B,master's degree,free/reduced,completed,77,97,94
151,male,group A,bachelor's degree,standard,none,77,67,68
106,female,group D,master's degree,standard,none,87,100,100
452,female,group C,associate's degree,free/reduced,none,65,77,74
56,female,group E,associate's degree,standard,completed,82,85,86
410,female,group D,master's degree,standard,completed,70,71,74
387,female,group C,associate's degree,free/reduced,none,57,78,67
792,male,group D,high school,free/reduced,none,66,74,69
549,male,group C,master's degree,standard,none,79,72,69
380,female,group B,associate's degree,standard,none,80,86,83
308,female,group B,associate's degree,free/reduced,none,53,71,67
64,female,group D,some high school,standard,none,59,58,59
913,female,group C,bachelor's degree,free/reduced,completed,47,62,66
305,male,group A,some college,standard,none,69,67,69
468,female,group A,high school,free/reduced,completed,77,88,85
87,female,group D,associate's degree,standard,none,71,71,74
781,female,group B,master's degree,standard,none,77,90,84
427,male,group C,some high school,free/reduced,none,69,71,65
909,male,group E,bachelor's degree,standard,completed,70,64,70
773,female,group C,bachelor's degree,free/reduced,none,62,78,79
634,male,group D,some high school,standard,none,84,84,80
521,female,group C,associate's degree,standard,none,91,86,84
559,male,group D,some high school,standard,none,73,66,62
316,female,group D,master's degree,standard,completed,77,82,91
116,female,group B,bachelor's degree,free/reduced,none,75,85,82
183,female,group D,associate's degree,standard,none,65,69,70
458,female,group E,bachelor's degree,standard,none,100,100,100
270,male,group C,bachelor's degree,standard,none,69,63,61
357,female,group C,some college,free/reduced,completed,42,66,69
144,male,group D,some college,standard,none,88,73,78
117,female,group D,bachelor's degree,standard,none,78,82,79
609,female,group B,associate's degree,standard,none,58,63,65
125,female,group B,high school,standard,none,87,95,86
704,female,group B,some high school,free/reduced,completed,59,63,64
496,female,group C,some college,standard,none,54,48,52
461,male,group B,some college,free/reduced,none,54,54,45
222,female,group C,some high school,free/reduced,none,55,65,62
459,male,group B,high school,standard,completed,72,65,68
713,male,group D,master's degree,standard,none,81,81,84
897,female,group B,some high school,free/reduced,completed,63,78,79
719,male,group E,associate's degree,free/reduced,completed,91,73,80
428,male,group A,some high school,free/reduced,none,65,59,53
930,male,group C,some college,free/reduced,completed,67,74,70
866,male,group C,high school,free/reduced,none,59,53,52
220,female,group D,high school,standard,completed,56,68,74
264,male,group D,high school,standard,none,76,73,68
480,male,group B,high school,standard,completed,73,71,68
383,female,group E,some high school,free/reduced,none,38,49,45
940,male,group C,master's degree,free/reduced,completed,72,66,72
124,male,group E,some college,standard,none,83,80,73
237,female,group D,some high school,standard,completed,64,60,74
431,female,group C,high school,standard,none,61,72,70
488,male,group B,some high school,standard,completed,64,53,57
512,male,group D,some high school,free/reduced,none,62,49,52
113,female,group D,some college,standard,none,51,58,54
615,female,group C,high school,standard,none,60,68,72
241,female,group E,bachelor's degree,standard,none,80,83,83
825,male,group C,high school,standard,none,62,67,58
200,female,group C,associate's degree,standard,completed,67,84,86
777,female,group C,some college,free/reduced,none,35,44,43
197,male,group E,high school,free/reduced,none,55,56,51
542,female,group C,associate's degree,standard,none,81,77,79
27,female,group C,bachelor's degree,standard,none,67,69,75
991,female,group B,some high school,standard,completed,65,82,78
330,male,group C,high school,standard,none,71,60,61
221,male,group B,associate's degree,standard,none,87,85,73
654,female,group B,some high school,standard,none,73,79,79
51,male,group E,associate's degree,free/reduced,completed,77,69,68
902,female,group A,high school,free/reduced,completed,34,48,41
291,male,group D,some high school,standard,none,86,73,70
69,female,group C,associate's degree,standard,none,39,64,57
958,female,group D,high school,standard,none,45,63,59
342,female,group B,high school,standard,completed,69,76,74
503,female,group E,associate's degree,standard,completed,95,89,92
965,female,group D,some college,standard,none,62,70,72
842,female,group B,high school,free/reduced,completed,23,44,36
336,male,group D,some high school,standard,completed,76,70,69
970,female,group D,bachelor's degree,standard,none,89,100,100
120,female,group C,bachelor's degree,standard,completed,79,92,89
195,male,group D,associate's degree,standard,none,61,55,52
729,male,group C,some college,standard,none,53,39,37
584,female,group D,some college,standard,none,69,77,77
954,female,group C,some college,standard,none,62,69,69
279,male,group B,bachelor's degree,free/reduced,none,73,56,57
466,female,group D,associate's degree,free/reduced,none,26,31,38
359,female,group D,some college,standard,none,80,90,89
765,female,group B,high school,standard,none,74,72,72
41,female,group C,associate's degree,standard,none,58,73,68
86,female,group C,some college,free/reduced,none,76,83,88
462,female,group E,some college,standard,none,71,70,76
501,female,group B,associate's degree,standard,completed,94,87,92
723,male,group C,high school,standard,none,50,48,42
355,female,group B,bachelor's degree,standard,none,61,72,70
402,female,group A,some college,free/reduced,none,49,65,55
207,male,group E,high school,standard,completed,81,80,76
693,female,group D,associate's degree,standard,none,77,77,73
513,female,group B,some high school,standard,completed,54,61,62
535,female,group C,bachelor's degree,free/reduced,completed,66,83,83
400,female,group C,some high school,standard,completed,59,54,67
247,female,group B,high school,standard,completed,58,70,68
791,female,group D,some college,free/reduced,none,60,66,70
238,male,group B,some college,standard,none,54,52,51
26,male,group B,some college,standard,none,69,54,55
787,female,group B,some college,standard,none,19,38,32
230,male,group D,some college,standard,none,76,64,66
497,female,group D,some college,free/reduced,completed,59,78,76
937,female,group E,high school,free/reduced,none,57,58,57
961,female,group D,some high school,free/reduced,none,48,54,53
444,male,group A,some high school,free/reduced,none,79,82,73
562,male,group C,bachelor's degree,standard,completed,96,90,92
126,male,group B,some high school,standard,none,72,68,67
563,female,group D,some college,free/reduced,completed,63,80,80
99,female,group D,bachelor's degree,standard,none,65,67,62
823,female,group B,high school,free/reduced,none,71,87,82
583,female,group D,associate's degree,standard,completed,73,75,80
732,female,group C,some college,standard,completed,87,89,94
307,male,group C,some high school,standard,none,51,52,44
749,male,group B,some college,standard,completed,87,84,86
498,female,group B,some high school,standard,none,66,69,68
989,female,group D,some college,free/reduced,completed,67,86,83
985,male,group A,high school,standard,none,57,51,54
17,female,group B,some high school,free/reduced,none,18,32,28
55,female,group C,high school,free/reduced,none,33,41,43
844,female,group D,some high school,free/reduced,completed,40,65,64
327,male,group A,some college,free/reduced,none,28,23,19
696,female,group C,associate's degree,standard,completed,75,82,90
927,female,group D,high school,free/reduced,completed,65,61,71
576,male,group A,some college,standard,completed,61,51,52
997,female,group C,high school,free/reduced,completed,59,71,65
722,female,group B,some high school,free/reduced,completed,74,90,88
995,female,group E,master's degree,standard,completed,88,99,95
353,female,group C,associate's degree,standard,none,46,58,57
28,male,group C,high school,standard,none,70,70,65
702,male,group A,bachelor's degree,standard,completed,87,84,87
947,female,group D,some college,free/reduced,none,49,58,60
286,male,group E,associate's degree,standard,completed,97,82,88
888,female,group D,some college,free/reduced,none,69,65,74
477,male,group D,associate's degree,standard,none,80,68,72
956,male,group C,some college,standard,none,84,87,81
104,male,group C,some college,standard,completed,98,86,90
166,male,group C,high school,free/reduced,completed,53,51,51
485,male,group C,high school,standard,none,70,74,71
73,male,group C,some high school,free/reduced,none,61,57,56
265,male,group D,some high school,free/reduced,none,59,42,41
779,male,group E,associate's degree,standard,completed,94,85,82
231,male,group C,associate's degree,standard,none,46,43,42
669,male,group D,associate's degree,standard,completed,81,72,77
611,female,group C,some college,standard,none,58,59,66
657,male,group D,some high school,standard,none,69,66,61
672,female,group C,some college,standard,none,69,78,76
734,female,group E,some college,free/reduced,none,53,58,57
134,male,group D,bachelor's degree,free/reduced,completed,74,79,75
38,female,group D,associate's degree,free/reduced,completed,75,90,88
624,female,group E,bachelor's degree,free/reduced,none,61,58,62
812,female,group C,master's degree,standard,completed,54,64,67
683,female,group C,some high school,free/reduced,completed,29,40,44
945,female,group C,associate's degree,standard,none,54,61,58
377,female,group D,master's degree,free/reduced,completed,85,95,100
857,female,group C,bachelor's degree,standard,none,65,79,81
589,female,group A,some high school,standard,none,48,66,65
721,male,group D,some high school,free/reduced,completed,55,59,59
876,male,group D,some college,standard,none,81,82,84
546,female,group A,some high school,standard,completed,92,100,97
322,female,group C,some college,standard,none,71,81,80
7,male,group B,some college,free/reduced,none,40,43,39
487,female,group C,associate's degree,free/reduced,none,60,75,74
821,female,group D,bachelor's degree,free/reduced,none,78,90,93
838,male,group B,associate's degree,free/reduced,completed,58,57,53
597,male,group A,some high school,standard,none,53,54,48
610,male,group D,some college,free/reduced,completed,69,60,63
216,female,group E,associate's degree,free/reduced,completed,83,86,88
100,male,group B,some college,standard,none,79,67,67
813,male,group E,some high school,standard,completed,87,84,76
348,male,group D,high school,free/reduced,none,75,74,66
517,female,group E,some college,standard,completed,66,74,73
577,female,group B,high school,standard,none,81,91,89
30,female,group D,some college,standard,none,69,74,74
255,female,group E,some college,standard,none,62,73,70
943,male,group A,some high school,free/reduced,completed,61,62,61
34,male,group E,some college,standard,none,97,87,82
417,male,group C,associate's degree,standard,none,74,73,67
136,male,group B,some high school,standard,completed,51,54,41
419,male,group E,high school,free/reduced,completed,57,56,54
744,male,group B,some college,free/reduced,none,55,55,47
8,male,group D,high school,free/reduced,completed,64,64,67
800,male,group C,some high school,standard,completed,67,73,68
751,male,group E,some college,standard,none,68,72,65
872,male,group B,associate's degree,standard,completed,82,84,78
711,female,group E,some high school,standard,completed,80,85,85
603,male,group D,high school,free/reduced,none,60,57,51
403,female,group D,high school,standard,completed,88,99,100
474,female,group B,associate's degree,standard,completed,90,90,91
629,female,group C,some high school,standard,completed,44,51,55
743,female,group C,associate's degree,standard,completed,59,73,72
46,female,group A,associate's degree,standard,completed,55,65,62
820,female,group A,some high school,standard,completed,85,90,92
114,female,group E,bachelor's degree,standard,completed,99,100,100
112,male,group A,associate's degree,standard,none,54,53,47
339,female,group D,some high school,free/reduced,completed,35,55,60
386,female,group E,bachelor's degree,standard,none,64,73,70
253,male,group D,master's degree,standard,none,80,80,72
893,male,group D,some high school,standard,completed,88,74,75
644,male,group B,high school,standard,none,70,65,60
184,male,group C,some high school,free/reduced,completed,45,52,49
694,female,group C,some high school,standard,none,49,63,56
574,female,group E,high school,standard,none,74,81,71
871,female,group C,some college,standard,completed,70,72,76
540,male,group C,high school,standard,completed,75,69,68
240,male,group D,high school,free/reduced,completed,73,68,66
558,female,group B,associate's degree,free/reduced,none,53,70,70
556,female,group C,associate's degree,standard,completed,55,72,79
731,male,group A,some high school,free/reduced,none,55,46,43
878,female,group D,some high school,standard,none,59,72,80
552,female,group B,associate's degree,standard,none,40,48,50
382,male,group C,master's degree,free/reduced,none,79,81,71
665,female,group C,some high school,free/reduced,completed,50,60,60
845,male,group E,master's degree,standard,none,90,85,84
853,male,group E,some high school,standard,none,82,67,61
67,female,group C,some college,standard,none,60,72,74
229,female,group C,some college,standard,completed,88,95,94
96,male,group B,some high school,standard,completed,65,66,62
567,female,group D,master's degree,free/reduced,completed,61,71,78
107,male,group E,associate's degree,standard,completed,66,63,64
617,male,group D,bachelor's degree,standard,none,88,78,83
278,female,group C,some high school,free/reduced,none,65,86,80
889,male,group D,high school,free/reduced,none,44,51,48
33,male,group D,some college,standard,none,40,42,38
680,female,group D,high school,standard,none,67,72,74
754,male,group C,associate's degree,free/reduced,none,58,55,53
810,male,group A,some high school,standard,none,51,31,36
874,female,group C,bachelor's degree,free/reduced,none,43,62,61
88,female,group A,some college,standard,none,58,70,67
53,male,group D,high school,standard,none,88,78,75
623,male,group A,some college,standard,completed,100,96,86
647,female,group E,high school,free/reduced,none,64,62,68
789,female,group C,master's degree,free/reduced,none,52,65,61
337,male,group C,associate's degree,standard,none,49,51,43
188,male,group B,some high school,free/reduced,none,48,52,45
205,male,group D,some high school,standard,completed,74,71,78
176,female,group B,high school,free/reduced,completed,46,54,58
306,male,group E,some college,standard,completed,99,87,81
311,male,group B,bachelor's degree,standard,none,66,60,57
564,male,group B,bachelor's degree,free/reduced,none,48,51,46
234,male,group C,bachelor's degree,standard,completed,83,82,84
109,female,group B,some high school,standard,none,70,64,72
129,female,group A,bachelor's degree,standard,none,51,49,51
460,male,group C,bachelor's degree,free/reduced,none,53,58,55
717,female,group C,associate's degree,standard,completed,96,96,99
57,male,group D,associate's degree,standard,none,52,55,49
135,male,group C,bachelor's degree,standard,none,58,55,48
550,male,group C,some high school,free/reduced,none,79,76,65
378,female,group A,some high school,standard,none,71,83,77
287,female,group B,some high school,standard,none,67,89,82
613,female,group C,associate's degree,standard,none,65,77,74
618,male,group D,master's degree,standard,none,95,81,84
740,male,group D,bachelor's degree,standard,none,80,73,72
808,male,group C,high school,standard,none,90,75,69
268,female,group D,associate's degree,standard,completed,88,92,95
587,female,group C,bachelor's degree,free/reduced,none,44,63,62
979,female,group C,associate's degree,standard,none,91,95,94
858,male,group B,high school,standard,completed,52,49,46
859,male,group C,associate's degree,free/reduced,none,87,73,72
500,female,group D,master's degree,standard,none,74,79,82
933,male,group C,bachelor's degree,free/reduced,completed,70,75,74
371,female,group C,some college,free/reduced,completed,45,73,70
511,male,group A,some high school,standard,none,64,50,43
246,male,group E,associate's degree,standard,none,89,76,74
423,female,group A,some high school,standard,completed,59,85,80
832,male,group A,bachelor's degree,standard,none,64,60,58
523,male,group C,master's degree,free/reduced,none,54,59,50
809,male,group B,bachelor's degree,standard,none,59,54,51
274,male,group B,some college,standard,completed,88,85,76
579,female,group D,master's degree,standard,none,53,61,68
